Brand,Product Name,Category,Original Price (AUD),Resale Price (AUD),Condition,Region,Season Sold,Days on Market,Date Listed,Value Retention
Balenciaga,Hourglass Bag,Handbags,8398.0,3389.94,Poor,Brisbane,Spring,16,2023-11-08,40.37
Gucci,Jackie 1961,Handbags,6447.0,3342.09,Good,Adelaide,Autumn,11,2024-04-23,51.84
Hermès,Constance,Handbags,10442.0,4371.58,Unknown,Adelaide,Spring,97,2024-11-16,41.87
Balenciaga,City Bag,Handbags,17610.0,9983.06,Fair,Sydney,Spring,159,2024-07-22,56.69
Hermès,Birkin 25,Handbags,17479.0,11317.8,Fair,Melbourne,Autumn,135,2024-01-28,64.75
Chanel,Classic Flap Bag,Handbags,5006.0,2188.3,Excellent,Unknown,Winter,24,2024-10-20,43.71
Hermès,Evelyne III,Handbags,14971.0,12440.59,Poor,Melbourne,Autumn,9,2024-01-11,83.1
Gucci,Ophidia Tote,Handbags,17754.0,13980.38,Very Good,Melbourne,Winter,40,2023-09-13,78.74
Dior,Saddle Bag,Handbags,7125.0,4735.6,Unknown,Adelaide,Autumn,1,2023-11-08,66.46
Balenciaga,Hourglass Bag,Handbags,8398.0,6970.35,Very Good,Sydney,Winter,119,2024-03-20,83.0
Prada,Cleo Shoulder Bag,Handbags,16598.0,10188.3,Very Good,Perth,Summer,17,2023-01-30,61.38
Rolex,Explorer,Watches,5642.0,3837.23,Very Good,Adelaide,Spring,102,2023-05-24,68.01
Rolex,Submariner,Watches,13875.0,11410.03,Excellent,Melbourne,Summer,55,2024-01-02,82.23
Cartier,Panthère Watch,Jewelry,5150.0,4381.41,Fair,Melbourne,Autumn,34,2024-03-29,85.08
Gucci,Ophidia Tote,Handbags,17754.0,8182.7,Excellent,Adelaide,Winter,103,2023-06-03,46.09
Fendi,Baguette Bag,Handbags,16671.0,8977.62,Very Good,Perth,Autumn,104,2023-02-20,53.85
Gucci,Ophidia Tote,Handbags,17754.0,10573.45,Poor,Unknown,Summer,92,2023-04-25,59.56
Hermès,Birkin 25,Handbags,17479.0,11789.96,Poor,Perth,Winter,123,2024-03-27,67.45
Prada,Cleo Shoulder Bag,Handbags,16598.0,14645.43,Unknown,Sydney,Summer,99,2023-12-11,88.24
Balenciaga,Neo Classic,Handbags,13397.0,7941.44,Very Good,Adelaide,Summer,107,2024-01-13,59.28
Cartier,Tank Watch,Jewelry,12098.0,10759.59,Excellent,Sydney,Summer,107,2023-09-06,88.94
Rolex,Submariner,Watches,13875.0,8311.6,Fair,Sydney,Winter,108,2023-08-18,59.9
Gucci,Jackie 1961,Handbags,6447.0,3595.64,Very Good,Perth,Autumn,48,2023-02-02,55.77
Dior,Saddle Bag,Handbags,7125.0,6271.04,Good,Melbourne,Summer,39,2024-03-20,88.01
Fendi,Baguette Bag,Handbags,16671.0,14512.53,Excellent,Sydney,Summer,155,2023-09-04,87.05
Gucci,Marmont Mini,Handbags,10882.0,9198.19,Excellent,Brisbane,Winter,2,2024-10-20,84.53
Fendi,Baguette Bag,Handbags,16671.0,8102.96,Very Good,Melbourne,Winter,126,2023-03-09,48.61
Dior,Book Tote,Handbags,11497.0,5636.65,Unknown,Unknown,Autumn,94,2023-06-05,49.03
Gucci,Dionysus,Handbags,7561.0,5582.96,Very Good,Perth,Summer,76,2023-09-18,73.84
Fendi,Peekaboo,Handbags,10980.0,8296.04,Fair,Perth,Spring,106,2024-12-24,75.56
Prada,Re-Edition 2005,Handbags,17035.0,9444.59,Good,Melbourne,Spring,97,2023-06-09,55.44
Cartier,Love Bracelet,Jewelry,3780.0,1658.73,Very Good,Unknown,Autumn,143,2024-11-27,43.88
Prada,Cleo Shoulder Bag,Handbags,16598.0,13425.94,Excellent,Unknown,Winter,61,2024-05-22,80.89
Dior,Book Tote,Handbags,11497.0,17186.33,Poor,Brisbane,Spring,110,2024-08-22,149.49
Gucci,Jackie 1961,Handbags,6447.0,2580.85,Very Good,Sydney,Autumn,156,2024-06-14,40.03
Louis Vuitton,Neverfull Tote,Handbags,6189.0,4681.4,Fair,Sydney,Autumn,146,2023-12-18,75.64
Louis Vuitton,Capucines,Handbags,12981.0,7699.09,Fair,Brisbane,Winter,175,2023-09-10,59.31
Cartier,Love Bracelet,Jewelry,3780.0,2412.33,Good,Unknown,Autumn,163,2023-07-18,63.82
Gucci,Marmont Mini,Handbags,10882.0,5038.57,Good,Brisbane,Winter,127,2024-11-06,46.3
Louis Vuitton,Speedy 30,Handbags,3829.0,1578.66,Very Good,Sydney,Summer,73,2023-02-25,41.23
Rolex,Datejust,Watches,11758.0,9517.04,Unknown,Sydney,Winter,26,2023-06-15,80.94
Cartier,Trinity Ring,Jewelry,7083.0,4386.06,Poor,Melbourne,Spring,94,2023-07-03,61.92
Gucci,Dionysus,Handbags,7561.0,11167.31,Very Good,Sydney,Winter,174,2023-10-27,147.7
Dior,Lady Dior,Handbags,14502.0,12295.3,Fair,Unknown,Spring,95,2024-04-15,84.78
Dior,Book Tote,Handbags,11497.0,9741.61,Excellent,Sydney,Autumn,60,2024-07-15,84.73
Hermès,Evelyne III,Handbags,14971.0,10893.98,Very Good,Perth,Spring,66,2024-10-13,72.77
Cartier,Love Bracelet,Jewelry,3780.0,2758.1,Unknown,Sydney,Summer,175,2024-06-07,72.97
Dior,Lady Dior,Handbags,14502.0,7867.21,Very Good,Sydney,Spring,133,2024-04-20,54.25
Prada,Galleria,Handbags,13165.0,7485.42,Very Good,Unknown,Spring,101,2024-08-24,56.86
Balenciaga,Neo Classic,Handbags,13397.0,7299.78,Fair,Perth,Summer,8,2023-08-26,54.49
Rolex,Submariner,Watches,13875.0,9638.73,Unknown,Melbourne,Autumn,154,2024-09-14,69.47
Hermès,Birkin 25,Handbags,17479.0,12419.44,Very Good,Sydney,Autumn,4,2024-08-09,71.05
Chanel,Gabrielle Hobo,Handbags,2212.0,1387.45,Excellent,Perth,Autumn,6,2023-06-15,62.72
Balenciaga,Neo Classic,Handbags,13397.0,8422.59,Unknown,Sydney,Winter,177,2023-09-09,62.87
Balenciaga,City Bag,Handbags,17610.0,13902.51,Very Good,Melbourne,Summer,23,2023-08-17,78.95
Hermès,Evelyne III,Handbags,14971.0,10844.64,Fair,Melbourne,Winter,143,2023-01-27,72.44
Prada,Re-Edition 2005,Handbags,17035.0,9733.06,Poor,Melbourne,Autumn,157,2023-05-24,57.14
Hermès,Evelyne III,Handbags,14971.0,10632.09,Unknown,Perth,Spring,46,2024-04-19,71.02
Prada,Double Tote,Handbags,17680.0,13289.6,Unknown,Perth,Autumn,11,2023-02-21,75.17
Fendi,Peekaboo,Handbags,10980.0,4964.02,Excellent,Brisbane,Spring,117,2024-05-01,45.21
