Brand,Product Name,Category,Original Price (AUD),Resale Price (AUD),Condition,Region,Season Sold,Days on Market,Date Listed
Balenciaga,Hourglass Bag,Handbags,8398.0,3389.94,poor,Brisbane,Spring,16,2023-11-08
Gucci,Jackie 1961,Handbags,6424.0,3342.09,Good,Adelaide,Autumn,11,2024-04-23
Hermès,Constance,Handbags,10431.0,4371.58,Unknown,Adelaide,Spring,97,2024-11-16
Balenciaga,City Bag,Handbags,17624.0,9983.06,Fair,SYD,Spring,159,2024-07-22
Hermès,Birkin 25,Handbags,17490.0,11317.8,Fair,Melbourne,Autumn,135,2024-01-28
Chanel,Classic Flap Bag,Handbags,5007.0,2188.3,Excell,unknown,Winter,24,2024-10-20
Hermès,Evelyne III,Handbags,14970.0,12440.59,poor,Melbourne,Autumn,9,2024-01-11
Gucci,Ophidia Tote,Handbags,17747.0,13980.38,Like New,Melbourne,Winter,40,2023-09-13
Dior,Saddle Bag,Handbags,,4735.6,Unknown,Adelaide,Autumn,1,2023-11-08
Balenciaga,Hourglass Bag,Handbags,,6970.35,Very Good,Sydney,Winter,119,2024-03-20
Prada,Cleo Shoulder Bag,Handbags,16596.0,10188.3,Very Good,Perth,Summer,17,2023-01-30
Rolex,Explorer,Watches,5648.0,3837.23,Like New,Adelaide,Spring,102,2023-05-24
Rolex,Submariner,Watches,13864.0,11410.03,Excell,Melbourne,Summer,55,2024-01-02
Cartier,Panthère Watch,Jewelry,5156.0,4381.41,Fair,Melb,Autumn,34,2024-03-29
Gucci,Ophidia Tote,Handbags,17655.0,8182.7,New,Adelaide,Winter,103,2023-06-03
Fendi,Baguette Bag,Handbags,16674.0,8977.62,Very Good,Perth,Autumn,104,2023-02-20
Gucci,Ophidia Tote,Handbags,17762.0,10573.45,poor,unknown,Summer,92,2023-04-25
Hermès,Birkin 25,Handbags,17483.0,11789.96,poor,Perth,Winter,123,2024-03-27
Prada,Cleo Shoulder Bag,Handbags,16639.0,14645.43,Unknown,Sydney,Summer,99,2023-12-11
Balenciaga,Neo Classic,Handbags,13396.0,7941.44,Very Good,Adelaide,Summer,107,2024-01-13
Cartier,Tank Watch,Jewelry,12103.0,10759.59,Excell,SYD,Summer,107,2023-09-06
Rolex,Submariner,Watches,13878.0,8311.6,Fair,Sydney,Winter,108,2023-08-18
Gucci,Jackie 1961,Handbags,6381.0,3595.64,Like New,Perth,Autumn,48,2023-02-02
Dior,Saddle Bag,Handbags,7194.0,6271.04,Good,Melbourne,Summer,39,2024-03-20
Fendi,Baguette Bag,Handbags,16734.0,14512.53,Excell,Sydney,Summer,155,2023-09-04
Gucci,Marmont Mini,Handbags,10879.0,9198.19,Excell,Brisbane,Winter,2,2024-10-20
Fendi,Baguette Bag,Handbags,16652.0,8102.96,Like New,Melbourne,Winter,126,2023-03-09
Dior,Book Tote,Handbags,11494.0,5636.65,Unknown,unknown,Autumn,94,2023-06-05
Gucci,Dionysus,Handbags,7562.0,5582.96,Like New,Perth,Summer,76,2023-09-18
Fendi,Peekaboo,Handbags,10981.0,8296.04,Fair,Perth,Spring,106,2024-12-24
Prada,Re-Edition 2005,Handbags,17043.0,9444.59,Good,Melb,Spring,97,2023-06-09
Cartier,Love Bracelet,Jewelry,,1658.73,Very Good,unknown,Autumn,143,2024-11-27
Prada,Cleo Shoulder Bag,Handbags,16572.0,13425.94,Excell,unknown,Winter,61,2024-05-22
Dior,Book Tote,Handbags,11478.0,17186.33,poor,Brisbane,Spring,110,2024-08-22
Gucci,Jackie 1961,Handbags,6357.0,2580.85,Like New,SYD,Autumn,156,2024-06-14
Louis Vuitton,Neverfull Tote,Handbags,,4681.4,Fair,Sydney,Autumn,146,2023-12-18
Louis Vuitton,Capucines,Handbags,12986.0,7699.09,Fair,Brisbane,Winter,175,2023-09-10
Cartier,Love Bracelet,Jewelry,3823.0,2412.33,Good,unknown,Autumn,163,2023-07-18
Gucci,Marmont Mini,Handbags,10799.0,5038.57,Good,Brisbane,Winter,127,2024-11-06
Louis Vuitton,Speedy 30,Handbags,3830.0,1578.66,Like New,Sydney,Summer,73,2023-02-25
Rolex,Datejust,Watches,11772.0,9517.04,Unknown,SYD,Winter,26,2023-06-15
Cartier,Trinity Ring,Jewelry,7092.0,4386.06,poor,Melb,Spring,94,2023-07-03
Gucci,Dionysus,Handbags,7601.0,11167.31,Very Good,SYD,Winter,174,2023-10-27
Dior,Lady Dior,Handbags,14505.0,12295.3,Fair,unknown,Spring,95,2024-04-15
Dior,Book Tote,Handbags,11589.0,9741.61,Excell,SYD,Autumn,60,2024-07-15
Hermès,Evelyne III,Handbags,14993.0,10893.98,Like New,Perth,Spring,66,2024-10-13
Cartier,Love Bracelet,Jewelry,3803.0,2758.1,Unknown,SYD,Summer,175,2024-06-07
Dior,Lady Dior,Handbags,14514.0,7867.21,Like New,SYD,Spring,133,2024-04-20
Prada,Galleria,Handbags,,7485.42,Very Good,unknown,Spring,101,2024-08-24
Balenciaga,Neo Classic,Handbags,13381.0,7299.78,Fair,Perth,Summer,8,2023-08-26
Rolex,Submariner,Watches,13901.0,9638.73,Unknown,Melb,Autumn,154,2024-09-14
Hermès,Birkin 25,Handbags,17470.0,12419.44,Very Good,Sydney,Autumn,4,2024-08-09
Chanel,Gabrielle Hobo,Handbags,2214.0,1387.45,New,Perth,Autumn,6,2023-06-15
Balenciaga,Neo Classic,Handbags,13413.0,8422.59,Unknown,SYD,Winter,177,2023-09-09
Balenciaga,City Bag,Handbags,17617.0,13902.51,Like New,Melbourne,Summer,23,2023-08-17
Hermès,Evelyne III,Handbags,14955.0,10844.64,Fair,Melbourne,Winter,143,2023-01-27
Prada,Re-Edition 2005,Handbags,,9733.06,poor,Melbourne,Autumn,157,2023-05-24
Hermès,Evelyne III,Handbags,15054.0,10632.09,Unknown,Perth,Spring,46,2024-04-19
